Player,AVG,OPS,GP,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,OB%
"Tuffy, McGwire (Quinnipiac)",0.238,0.703,35,105,22,25,2,1,1,10,32,0.305,14,14,26,0.398
"Krzeminski, Gibson (Canisius)",0.242,0.809,34,99,19,24,4,1,6,16,48,0.485,10,2,32,0.324
Bryce Mordecki (Siena),0.222,0.662,35,99,14,22,3,0,3,20,34,0.343,12,2,38,0.319
"LaChance, Sam (Quinnipiac)",0.202,0.67,34,99,20,20,3,0,4,16,35,0.354,11,6,32,0.316
"Mendoza, Vicente (Iona)",0.144,0.43,39,90,5,13,2,0,1,2,18,0.2,4,6,36,0.23
"Mauro, Vincent (Niagara)",0.174,0.559,34,86,11,15,2,1,2,9,25,0.291,10,1,46,0.268
Cole Watson (Saint Peter's),0.179,0.554,34,84,16,15,3,0,0,7,18,0.214,16,5,36,0.34
Joey Vitiello (Saint Peter's),0.193,0.506,39,83,15,16,1,1,0,5,19,0.229,7,3,28,0.277
Nathan Lincoln (Marist),0.293,0.774,35,82,25,24,4,1,0,7,30,0.366,13,3,20,0.408
Niko Amory (Marist),0.213,0.667,32,80,13,17,2,0,2,16,25,0.313,15,3,31,0.354
Chris Erickson (Siena),0.157,0.53,36,70,8,11,2,2,1,6,20,0.286,4,4,32,0.244
Eric Marasheski,0.303,0.875,32,99,16,30,4,1,3,13,,0.455,11,9,38,0.42
Ryan Ross,0.191,0.715,29,89,15,17,4,2,3,14,,0.382,14,5,39,0.333
James Williams III,0.309,0.884,31,97,11,30,7,1,2,14,,0.464,20,0,20,0.42
Eric Marasheski,0.303,0.875,32,99,16,30,4,1,3,13,,0.455,11,9,38,0.42
Bobby Grimes,0.222,0.68,39,99,21,22,1,1,1,9,,0.283,25,5,37,0.397
"LaChance, Sam",0.202,0.67,34,99,20,20,3,0,4,16,35,0.354,11,6,32,0.316
"DeRosa, Matt",0.286,0.719,27,84,10,24,6,0,1,9,33,0.393,4,1,11,0.326
"Mueller, Sebastian",0.215,0.667,26,79,5,17,4,0,3,15,30,0.38,5,3,20,0.287
"McDermott, Andrew",0.237,0.815,29,59,11,14,4,0,2,12,24,0.407,13,4,22,0.408
